,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
60,2,2.25,2770,11884,1.0,0,3,4,8,1570,1200,1969,0,98070,47.5098,-122.474,2310,17097,695943.378332328
61,3,1.75,1120,5500,1.5,0,0,4,7,1120,0,1925,0,98136,47.5445,-122.391,1490,5500,237157.6981474068
62,3,1.0,1530,2370,2.0,0,0,3,8,1530,0,1901,0,98122,47.6108,-122.303,1310,2370,597228.7486500032
63,3,2.5,1800,3300,2.0,0,0,3,7,1690,110,2004,0,98118,47.5491,-122.276,1570,3902,368637.4586584754
64,2,1.0,1030,6000,1.0,0,0,3,7,1030,0,1925,0,98118,47.5669,-122.283,1510,5000,356502.6643920876
65,3,1.75,1210,6175,1.0,0,0,3,7,1210,0,1976,0,98034,47.7291,-122.202,1520,7475,752887.8850602731
66,1,1.0,1090,32010,1.0,0,0,4,6,1090,0,1958,0,98014,47.6928,-121.87,1870,25346,865184.7309578359
67,4,2.25,1790,7203,1.0,0,0,4,7,1110,680,1973,0,98155,47.7709,-122.294,2270,9000,309989.9048577305
68,4,1.5,1550,5053,1.0,0,0,4,7,1180,370,1963,0,98118,47.5499,-122.274,1450,5639,113018.3205565922
69,4,2.75,2400,20000,1.0,0,0,3,8,1170,1230,1961,2015,98058,47.4556,-122.087,1690,20000,782695.3307713307
70,4,1.75,2470,131790,2.0,0,2,3,8,2470,0,1937,0,98070,47.4421,-122.444,1470,92747,1402727.0888863169
71,3,1.0,1170,7395,1.0,0,0,4,7,1170,0,1969,0,98055,47.4627,-122.19,1430,7920,447794.29928828776
72,3,1.0,1120,10125,1.0,0,0,3,6,1120,0,1961,0,98059,47.4794,-122.078,1120,8820,818979.4675206002
73,4,1.0,1040,4420,1.5,0,0,3,6,1040,0,1944,0,98117,47.6945,-122.368,1310,4920,383367.5679309815
74,4,2.5,2460,7350,2.0,0,0,3,9,2460,0,1989,0,98023,47.3061,-122.349,2390,8568,301426.0126106832
75,4,2.5,3690,11468,2.0,0,0,3,11,3690,0,1987,0,98027,47.5699,-122.092,3370,10751,978413.0749959722
76,3,1.75,1960,43332,1.0,0,0,4,7,1400,560,1982,0,98077,47.739,-122.048,2010,44431,408836.96671315655
77,3,2.5,1920,15124,2.0,0,0,3,8,1920,0,1995,0,98045,47.5015,-121.773,1920,16477,298977.6742972955
78,3,2.25,1670,3135,2.0,0,0,3,8,1220,450,2002,0,98199,47.6478,-122.396,1630,1596,404028.6183921136
79,3,2.0,1340,9750,1.0,0,0,4,7,890,450,1974,0,98024,47.5644,-121.898,1460,12900,800588.6524374317
80,3,2.25,2610,3357,2.0,0,0,4,7,1980,630,1926,0,98112,47.638,-122.306,1940,3357,410528.59698697366
81,4,1.75,1540,7200,1.0,0,0,3,7,1260,280,1966,0,98003,47.3424,-122.308,1540,8416,212782.5249827765
82,3,2.0,1640,7201,1.0,0,0,3,8,1640,0,1948,0,98125,47.7216,-122.289,1750,7201,461953.60320266336
83,3,2.5,2100,15120,1.0,0,0,4,8,2100,0,1953,0,98004,47.6201,-122.222,3070,16078,432728.1948204152
84,4,1.75,1930,7245,1.0,0,0,4,8,1510,420,1972,0,98008,47.6396,-122.112,1880,7245,251247.3680011332
85,3,2.0,1430,10850,1.0,0,0,3,7,1430,0,1994,0,98001,47.2671,-122.233,1610,8015,815081.7024595719
86,4,1.5,2430,4995,1.5,0,0,4,7,1730,700,1928,0,98144,47.5782,-122.292,2240,5000,413404.2942106668
87,5,3.0,2460,7240,1.0,0,0,3,9,1840,620,1991,0,98006,47.5486,-122.189,2530,7885,684452.6870013103
88,4,2.25,2490,6973,1.0,0,0,4,8,1490,1000,1953,0,98199,47.6516,-122.409,1780,5612,413529.7838944085
89,2,1.0,880,9750,1.0,0,0,5,6,880,0,1938,0,98168,47.4885,-122.298,1220,9406,138637.07302393578
90,4,2.5,2110,3750,2.0,0,0,3,8,2110,0,2000,0,98117,47.6789,-122.363,1700,5000,280955.5580554791
91,4,1.75,1850,4388,2.0,0,0,5,8,1850,0,1941,0,98117,47.6885,-122.381,1410,4107,937970.6732919589
92,2,1.5,2060,7713,1.5,0,0,4,7,2060,0,1930,0,98030,47.3722,-122.185,1780,7713,186316.0074433498
93,2,1.0,1360,9367,1.0,0,0,4,6,680,680,1924,0,98155,47.7689,-122.315,1360,7543,598283.2227291781
94,3,2.0,2000,10490,1.0,0,0,3,8,1430,570,1978,0,98033,47.6976,-122.166,1530,7659,598283.2227291781
95,3,1.5,1810,18483,1.0,0,0,3,8,1810,0,1954,0,98177,47.7617,-122.378,2920,20279,811172.5182643868
96,3,2.75,2230,14400,1.0,0,0,4,8,1460,770,1977,0,98075,47.5791,-122.048,2200,13280,360365.7964421846
97,3,2.75,1820,7517,1.0,0,0,3,9,1820,0,1997,0,98116,47.5705,-122.406,2540,8035,136951.52668823488
98,4,3.0,2740,2811,2.0,0,0,3,8,2240,500,2003,0,98072,47.7738,-122.158,2740,3596,230650.78120481037
99,4,2.5,2710,6558,2.0,0,0,3,9,2710,0,1997,0,98058,47.434,-122.109,2710,7635,650851.6670333948
100,2,1.0,910,9753,1.0,0,0,3,5,910,0,1947,0,98032,47.3897,-122.236,1160,7405,927736.2609212734
101,4,2.0,1980,10585,1.5,0,0,2,6,1980,0,1924,0,98055,47.4836,-122.214,1360,7810,642849.9837859105
102,3,1.0,1040,10080,1.0,0,0,3,6,1040,0,1959,0,98023,47.329,-122.343,1000,8736,687891.2126307338
103,4,2.25,2810,8560,1.0,0,0,3,8,1610,1200,1979,0,98058,47.4437,-122.124,2400,7600,908714.3287164662
104,4,2.5,2000,5962,2.0,0,0,3,8,2000,0,1999,0,98133,47.7695,-122.35,1790,10500,235004.1389821563
105,3,1.0,1530,6372,1.0,0,0,3,7,1210,320,1962,0,98118,47.535,-122.289,1960,6426,537457.1182743553
106,6,4.0,5110,7128,2.5,0,0,4,11,5110,0,1906,0,98112,47.6285,-122.304,4110,6480,513111.90872367285
107,4,2.25,3133,16197,2.0,0,0,3,9,2533,600,1965,2010,98166,47.4255,-122.338,3090,15588,235458.37908680923
108,4,2.5,2020,32710,1.0,0,0,3,7,1070,950,1941,0,98168,47.4969,-122.33,1340,17700,987280.1758242007
109,2,1.0,750,4000,1.0,0,0,4,6,750,0,1926,0,98118,47.5547,-122.272,1120,5038,536648.976802595
110,3,2.5,1980,39932,2.0,0,0,3,8,1980,0,1994,0,98011,47.7433,-122.196,2610,12769,530704.1496339794
111,3,1.0,1200,6250,1.0,0,0,3,6,920,280,1943,0,98168,47.5095,-122.331,1280,9375,499257.1664135754
112,5,2.5,3580,8921,2.0,0,0,3,9,3580,0,2000,0,98033,47.693,-122.202,2710,9308,200009.26792164706
113,3,2.5,2010,11618,2.0,0,0,3,7,2010,0,1990,0,98022,47.1956,-121.985,1550,9354,522832.14940490015
114,4,2.0,1730,3884,1.0,0,0,5,7,1060,670,1924,0,98103,47.6624,-122.349,1360,3563,833688.5646923259
115,5,3.5,5960,13703,2.0,0,2,3,10,4770,1190,1984,0,98008,47.6151,-122.107,2810,17320,1333772.6730103567
116,2,1.0,860,5080,1.0,0,0,3,7,860,0,1960,0,98032,47.39,-122.236,1250,6477,474280.7207007725
117,3,1.5,1370,7697,1.0,0,0,3,7,1370,0,1939,0,98177,47.7153,-122.361,1370,7697,136955.89197127707
118,3,1.75,1360,9603,1.0,0,0,3,7,1360,0,1963,0,98198,47.3959,-122.309,2240,10605,221022.40579673462
119,4,2.5,2530,8169,2.0,0,0,3,8,2530,0,1993,0,98003,47.2634,-122.312,2220,8013,440824.9346546661
120,4,2.0,1680,3813,2.0,0,0,4,7,1680,0,1900,0,98144,47.593,-122.293,2540,3996,843718.2750031091
121,3,2.5,1580,6860,2.0,0,0,3,7,1580,0,1995,0,98055,47.4447,-122.188,1580,7050,415422.4055841863
122,7,3.5,3890,8342,2.0,0,4,3,9,2840,1050,1968,0,98117,47.7011,-122.392,2870,8342,254685.3137555048
123,5,2.0,1600,4168,1.5,0,0,3,7,1600,0,1927,0,98126,47.5297,-122.381,1190,4168,564006.0956262089
124,3,1.0,1200,9668,1.0,0,0,5,6,1200,0,1975,0,98092,47.3156,-122.128,1200,9800,852654.5230399948
125,3,1.75,1760,10780,1.0,0,0,3,8,1760,0,1977,0,98005,47.5938,-122.154,2090,10780,960337.2112606205
126,3,2.0,1670,7700,1.0,0,0,3,7,1170,500,1972,0,98034,47.725,-122.2,1500,7875,609090.8484125063
127,4,3.5,4640,9827,2.0,0,2,3,10,3210,1430,2007,0,98027,47.5524,-122.078,3810,8207,417373.1123358384
128,4,1.5,1800,6750,1.5,0,0,4,7,1800,0,1950,0,98115,47.6868,-122.285,1420,5900,724813.9671547469
129,3,1.75,1210,8864,1.0,0,0,3,7,1210,0,1985,0,98042,47.3639,-122.08,1510,8062,271666.9194560312
130,2,2.5,1280,1566,2.0,0,0,3,7,1280,0,2005,0,98055,47.4336,-122.195,1460,1845,40591.851974839345
131,3,2.0,1650,7104,2.0,0,0,3,8,1650,0,1945,1986,98177,47.7053,-122.374,1730,7104,436796.47212722525
132,4,1.75,1590,10523,2.0,0,0,4,7,1590,0,1922,0,98133,47.7358,-122.342,1610,8568,1017009.2485274989
133,5,2.0,1900,5000,1.0,0,2,3,8,1720,180,1957,0,98107,47.6735,-122.362,1770,5000,390981.94219748303
134,2,2.5,1500,3608,2.0,0,0,3,8,1500,0,2005,0,98029,47.5472,-121.994,2080,2686,645191.2937825788
135,4,2.5,2689,6688,2.0,0,0,3,9,2689,0,2006,0,98030,47.3803,-122.184,2665,5700,289047.96526648477
136,4,2.75,3250,5500,2.0,0,0,3,9,3250,0,2007,0,98027,47.5398,-121.997,3920,6000,297052.4436509833
137,2,1.0,960,13438,1.0,0,0,3,7,960,0,1951,0,98168,47.4745,-122.295,1630,11656,765524.1262143999
138,3,1.75,1650,9600,1.0,0,0,4,7,1650,0,1977,0,98075,47.5779,-122.044,2040,12220,226506.1083409954
139,3,2.5,1690,5171,2.0,0,0,3,8,1690,0,2003,0,98023,47.2779,-122.347,2550,5025,323481.3749104962
140,3,1.75,2790,36585,1.0,0,0,4,8,1410,1380,1970,0,98027,47.4734,-121.999,1900,45302,440395.42241125926
141,4,2.75,2310,4020,3.0,0,0,5,8,2310,0,1979,0,98122,47.6154,-122.291,2270,3750,685457.1611779388
142,3,3.5,1790,1288,3.0,0,0,3,8,1390,400,2000,0,98199,47.651,-122.384,1560,1426,300773.1156529747
143,3,1.0,1230,8750,1.0,0,0,3,6,1230,0,1965,0,98003,47.3266,-122.334,1230,8750,464393.05596832186
144,3,2.0,1620,2640,1.5,0,0,5,8,1620,0,1929,0,98115,47.6884,-122.322,1470,4080,586758.8588771187
145,4,2.75,2440,12051,1.0,0,0,5,8,1440,1000,1966,0,98133,47.7456,-122.351,2030,8006,989845.053178208
146,4,2.25,2100,7350,2.0,0,0,3,8,2100,0,1979,0,98033,47.7019,-122.171,1780,7350,816772.2152507808
147,3,2.5,3040,7232,2.0,0,0,3,7,3040,0,2003,0,98092,47.3355,-122.168,2760,6926,360216.91959526204
148,4,3.0,2490,5064,2.0,0,0,3,7,2490,0,2007,0,98056,47.5139,-122.189,2470,5064,449253.13160070777
149,3,2.75,2690,10443,1.0,0,0,3,9,2690,0,2007,0,98053,47.7185,-122.024,1440,4185,424412.97101736814
150,4,1.75,2190,9752,1.0,0,0,3,8,2190,0,1964,0,98034,47.7108,-122.239,2040,9964,432226.0988666676
151,3,1.75,1490,9120,1.0,0,0,5,7,1490,0,1959,0,98059,47.4806,-122.163,1340,8040,360268.7964775525
152,3,2.25,2530,45234,2.0,0,0,4,9,2530,0,1985,0,98072,47.7221,-122.12,3110,35617,261452.14011061005
153,3,2.0,2060,4040,1.0,0,0,4,8,1120,940,1947,0,98103,47.6798,-122.352,1500,4000,1603662.0248224102
154,3,2.25,1970,35100,2.0,0,0,4,9,1970,0,1977,0,98027,47.4635,-121.991,2340,35100,363079.2816751152
155,3,1.75,1400,4000,1.5,0,0,4,7,1400,0,1925,0,98117,47.6902,-122.388,1050,4330,210992.50933641568
156,3,2.5,3680,35617,1.0,0,0,3,10,2390,1290,1985,0,98052,47.7213,-122.12,3570,35633,865315.5052644666
157,5,2.25,3000,13899,2.0,0,0,4,8,3000,0,1975,0,98052,47.6373,-122.105,2270,10763,548069.1683443207
158,3,1.0,1440,5000,2.0,0,0,3,7,1440,0,1910,0,98103,47.6741,-122.354,1850,4500,276211.56501757354
159,5,5.75,7730,230868,2.0,0,0,3,12,6660,1070,2004,0,98077,47.7615,-122.084,2660,39292,417537.2106506862
160,3,1.0,1170,3348,1.5,0,0,4,7,1170,0,1924,0,98117,47.687,-122.378,1590,4219,290553.3748070095
161,2,1.0,1770,8640,1.5,0,0,3,6,1520,250,1949,0,98117,47.6926,-122.363,1060,4804,520880.15666451305
162,3,2.0,1860,13374,1.0,0,0,3,8,1860,0,1985,0,98027,47.5397,-122.054,1960,9797,960669.6831501685
163,2,1.0,770,3008,1.0,0,0,4,5,770,0,1917,0,98116,47.5686,-122.389,1550,4563,532936.18427407
164,4,3.5,3820,17745,2.0,0,2,3,8,2440,1380,1955,0,98108,47.557,-122.295,2520,9640,360196.0024436042
165,4,2.5,3190,8195,2.0,0,0,3,10,3190,0,2006,0,98038,47.3555,-122.003,3400,7607,434143.3852982167
166,3,1.5,1320,13200,1.0,0,0,3,7,1320,0,1970,0,98059,47.5009,-122.143,1730,13200,118007.34887925722
167,2,2.25,1730,31491,2.0,1,2,4,7,1730,0,1947,1988,98070,47.373,-122.464,1400,12410,720508.4560311399
168,3,1.0,1010,25000,1.0,0,0,3,6,1010,0,1966,0,98014,47.6927,-121.901,2020,101494,784665.4046465401
169,2,2.5,1140,1182,3.0,0,0,3,8,1140,0,2007,0,98107,47.6713,-122.383,1290,1189,495744.5142879896
170,3,1.0,860,7030,1.0,0,0,3,7,860,0,1973,0,98034,47.7151,-122.211,1360,7500,305582.31247072667
171,3,1.75,1540,10545,2.0,0,0,4,6,1540,0,1978,0,98045,47.4451,-121.763,1540,10000,373662.6277474873
172,4,2.25,2160,9525,1.0,0,0,3,8,1080,1080,1961,0,98040,47.5651,-122.221,2780,9525,447004.5826907158
173,3,1.5,1450,9477,1.0,0,0,4,7,1450,0,1963,0,98031,47.4215,-122.203,1460,9477,1091226.2909196485
174,3,1.75,1830,9620,1.0,0,0,4,8,1830,0,1978,0,98023,47.3123,-122.389,1990,8280,663781.3449109364
175,3,1.5,1630,6625,1.0,0,0,5,7,980,650,1980,0,98023,47.29,-122.368,1440,7145,279352.8986042123
176,4,2.5,2500,8215,2.0,0,0,3,8,2500,0,1990,0,98031,47.4124,-122.204,2360,7801,302829.9293037541
177,3,1.75,1470,4950,1.0,0,0,3,7,1030,440,1984,0,98133,47.7325,-122.337,1100,5250,376512.918153584
178,3,2.5,2380,19860,2.0,0,0,4,8,2380,0,1995,0,98056,47.5255,-122.173,2450,10220,304916.77725094184
179,4,2.5,2170,7700,1.0,0,0,3,7,1420,750,1969,0,98034,47.7216,-122.219,1710,7770,429905.2455050275
180,3,2.0,2120,7560,1.0,0,0,3,9,2120,0,1991,0,98058,47.435,-122.16,2660,7700,247480.11261245236
181,3,2.5,1530,3464,2.0,0,0,3,8,1530,0,1998,0,98007,47.6179,-122.141,1530,3446,632839.5569317434
182,3,1.75,2710,9088,1.0,0,0,4,7,2060,650,1965,0,98001,47.3073,-122.272,1690,10454,735224.773550855
183,3,2.5,2860,8935,2.0,0,0,3,8,2860,0,2004,0,98065,47.5336,-121.855,2650,6167,77179.8564766664
184,4,1.75,2800,90169,2.0,0,0,3,7,2800,0,1934,1985,98065,47.5204,-121.829,1600,27194,822927.589749733
185,4,1.0,1120,7104,1.5,0,0,3,7,1120,0,1946,0,98177,47.7055,-122.372,1370,7104,1205686.7653270438
186,3,1.0,1730,7210,1.0,0,0,3,7,1430,300,1963,0,98001,47.3404,-122.28,1820,7210,334886.6994255148
187,2,1.0,1010,5408,1.0,0,0,4,6,1010,0,1926,0,98032,47.3759,-122.238,980,7800,501035.86981049925
188,4,2.5,2350,6624,2.0,0,0,3,9,2350,0,1990,0,98074,47.6262,-122.045,2590,11240,427911.55174169317
189,6,5.25,2860,5682,2.0,0,0,3,7,2860,0,1978,0,98002,47.303,-122.221,1390,5956,627542.3703111708
190,4,3.5,4285,9567,2.0,0,1,5,10,3485,800,1946,0,98199,47.6434,-122.409,2960,6902,448215.70333291776
191,4,3.75,4060,19290,2.0,0,0,3,10,4060,0,2002,0,98074,47.6051,-122.053,4020,13250,129114.14607172832
192,3,1.0,1310,9612,1.0,0,0,3,7,960,350,1962,0,98001,47.2958,-122.285,1310,9812,690201.6653351542
193,2,1.75,2320,6250,1.0,0,0,3,7,1400,920,1948,0,98136,47.5468,-122.386,1420,6250,635303.9917073082
194,4,2.25,2210,8101,2.0,0,0,3,9,2210,0,1985,0,98074,47.6475,-122.07,2330,8842,365180.1221854277
195,4,2.75,2090,14141,1.5,0,0,4,8,1680,410,1941,0,98166,47.4333,-122.347,1990,12920,315566.08400971815
196,4,2.5,2240,4025,1.0,0,2,3,7,1250,990,1926,2005,98115,47.6818,-122.311,1380,3500,557979.3843885008
197,2,1.0,1180,7200,1.0,0,0,4,6,1180,0,1949,0,98133,47.7475,-122.342,1180,7200,474647.1308920849
198,4,1.75,1560,31299,1.0,0,0,4,7,1560,0,1965,0,98092,47.3384,-122.164,2460,44907,326037.08404764347
199,4,2.0,1970,7451,1.0,0,0,3,8,1350,620,1962,0,98133,47.765,-122.335,1980,7510,225749.13873182982
200,2,1.0,840,12750,1.0,0,0,3,6,840,0,1925,0,98055,47.484,-122.211,1480,6969,168502.91347403638
201,2,1.0,840,12750,1.0,0,0,3,6,840,0,1925,0,98055,47.484,-122.211,1480,6969,388620.66742361896
202,3,2.0,1830,10873,1.0,0,0,3,8,1830,0,1989,0,98023,47.3066,-122.394,2490,8976,352621.44881637394
203,4,3.75,4475,20424,2.0,1,4,3,12,2659,1816,1999,0,98033,47.6646,-122.208,4340,5250,190005.87505264021
204,3,1.5,1800,4700,1.0,0,0,3,7,1200,600,1941,0,98117,47.6858,-122.385,1580,4700,100973.9056733828
205,2,1.0,1250,5040,1.0,0,0,3,7,950,300,1920,0,98117,47.6959,-122.365,1290,5040,718956.667074576
206,3,1.75,2440,10179,1.0,0,0,4,7,1220,1220,1962,0,98198,47.4118,-122.314,1650,9711,638521.4184004422
207,3,2.5,2910,12283,2.0,0,2,3,10,2910,0,1993,0,98058,47.4602,-122.152,2680,22499,383473.7597588822
208,5,2.75,3060,6895,2.0,0,0,3,8,3060,0,2003,0,98042,47.3809,-122.098,2590,6895,115028.51812508143
209,5,2.25,2230,9600,1.0,0,0,3,8,1320,910,1978,0,98077,47.7466,-122.076,2080,9760,656899.4371297695
210,3,1.0,1270,6900,1.0,0,0,3,7,1270,0,1977,0,98034,47.7279,-122.192,1480,7280,222102.0151989162
211,4,4.5,4300,19844,2.0,0,0,3,11,4300,0,1985,1999,98039,47.6218,-122.237,3070,19845,311391.2388680931
212,3,2.25,1580,39189,1.0,0,0,3,7,1180,400,1992,0,98053,47.6365,-121.972,1580,29649,637303.2648660634
213,4,2.25,2570,36465,2.0,0,0,4,8,2570,0,1980,0,98053,47.6555,-122.042,2390,41454,622135.1667283066
214,2,1.0,860,6510,1.0,0,0,3,7,860,0,1952,0,98004,47.6021,-122.202,1740,10800,435581.5096959155
215,1,1.0,820,1060,1.0,0,0,3,8,760,60,2007,0,98126,47.5472,-122.372,1770,1853,172307.96323150024
216,4,2.25,2090,8579,2.0,0,0,3,8,2090,0,1987,0,98074,47.6364,-122.03,1850,8843,1110827.5400790144
217,4,3.5,3560,16782,2.0,0,0,3,10,2560,1000,2014,0,98040,47.5569,-122.225,3100,18047,470397.90312758833
218,3,1.75,1860,9629,1.0,0,0,4,7,1240,620,1961,0,98059,47.4913,-122.143,1940,9629,1134084.8793152254
