,prediction
524,164052.8280402652
525,488079.3914613328
526,616203.2825526125
527,1664755.346162679
528,352701.1927094293
529,764634.5362557765
530,260708.25008862332
531,136800.26860736834
532,1242569.8675225703
533,134367.96205747034
534,11008.621532143065
535,289897.9274095063
536,434597.61594322685
537,678984.2874013236
538,137387.6527218044
539,387939.62852850324
540,2291448.7379627055
541,213931.63242894568
542,506296.4691142454
543,585027.6702526257
544,489889.3784332569
545,1149965.625080485
546,787892.8663514372
547,332209.4095989076
548,410985.056112504
549,242189.47136776656
550,699379.5050578589
551,1515421.8181350639
552,531867.6361848809
553,169753.41749909997
554,527197.5133137081
555,895200.6097707904
556,1330575.3215040946
557,146489.92933563783
558,620680.859862785
559,243009.1968278383
560,341272.8539781093
561,371057.0980548705
562,776226.4036149728
563,1082561.242117456
564,510547.7666934646
565,381359.8823912011
566,126313.78417990945
567,652903.0402746319
568,571240.2731627349
569,346189.4542135638
570,167607.72944228456
571,909099.8283951813
572,615239.3655611186
573,868292.7610384296
574,190009.37478905777
575,220692.5732512825
576,249075.67562199372
577,1394973.207129212
578,658534.2897458987
579,135448.12559297128
580,657685.9177085449
581,368399.0306365192
582,864498.2349518368
583,539717.9899583616
584,190374.5326296473
585,175261.92504856794
586,848026.0755731373
587,1117295.5526123235
588,455338.1756544409
589,687747.6154462143
590,305485.9210117615
591,204217.34191434953
592,317559.7574194437
593,160706.38866365363
594,229331.3584310793
595,144730.2311603126
596,361921.72456592205
597,874906.3065063632
598,787601.2383697781
599,935744.0269278307
600,488831.9938358865
601,474870.75993984495
602,104737.33629854239
603,371549.72184359434
604,298223.79103805905
605,716743.2744602512
606,437528.27473820595
607,343499.47722588887
608,193934.3998190415
609,820233.6321411098
610,325513.28954638913
611,656281.332659063
612,520661.39447079354
613,688153.012702076
614,192868.91850085446
615,494000.14071178285
616,381095.49912619847
617,491450.7973544304
618,122839.08508443314
619,233219.59153371654
620,328412.2806888091
621,453648.8870533565
622,214286.41720167658
623,625928.485578736
624,286254.4143648035
625,105624.24643223308
626,443125.6028578667
627,742629.0092836713
628,328417.1936094975
629,735753.0443633082
630,-102605.85921435183
631,576353.1880424297
632,488524.59799237293
633,1051059.971372799
634,473333.3605800342
635,303537.9785168016
636,132811.79528073425
637,282062.4256753726
638,387104.4966427237
639,980786.2236393497
640,317832.9724374754
641,327419.0220310715
642,948931.3988065822
643,517273.32214449625
644,382434.7567616495
645,198445.8393331414
646,515344.48085886345
647,502727.1448650615
648,115038.47501924104
649,201812.96991490322
650,111544.83603842236
651,588254.4163760201
652,496981.67050376337
653,651393.8589626278
654,187140.39601846132
655,1108475.7067265324
656,1864307.8994431777
657,247796.18270872603
658,636279.5692576668
659,439968.3416356237
660,92307.77345443098
661,444794.0589610997
662,480335.79475362366
663,249317.36698190973
664,333740.68356927775
665,216800.4602360648
666,319583.78704044165
667,627727.5049438997
668,509687.8546368367
669,969110.2728636633
670,475760.9408760391
671,519957.6088718473
672,668796.5813873806
673,853587.5577095326
674,401218.7435765043
675,520510.53584500053
676,303090.15674641414
677,257361.67632821988
678,581120.6897337962
679,1203369.6121200025
680,212532.04331064946
681,629912.890769316
682,734525.4101655486
683,471195.39240745944
684,433658.0956747802
685,704453.2343862437
686,552210.8411881458
687,428347.2412777045
688,304938.0374617165
689,410866.4230076567
690,554257.8446473792
691,1292754.6363728791
692,506645.74618933967
693,311097.3174972625
694,787569.9271422665
695,201613.02528029238
696,691346.7295795642
697,156604.24433338764
698,209034.36417173216
699,609961.64842756
700,458369.8569939884
701,122758.66313702543
702,432979.44594783743
703,535016.6662242613
704,55670.657213941915
705,219638.26561521477
706,451217.5498628069
707,859346.6027725006
708,261140.39198347868
709,857007.8137201499
710,464973.4526549574
711,251988.16996083094
712,616952.5769415423
713,163375.74295713054
714,428539.1335766736
715,305613.26664698217
716,398672.54767072934
717,662130.2352395968
718,662130.2352395968
719,89698.62872726709
720,202269.42497872422
721,549527.0874288627
722,1544625.0158136284
723,546705.3722029467
724,369101.3373239628
725,309906.094916167
726,297950.9553391298
727,297048.5968973798
728,236451.12377512123
729,1284708.7582063086
730,696755.7667660823
731,162799.47523956106
732,568065.0214445611
733,817550.7560898683
734,426052.4808088159
735,450596.0006999107
736,623222.9354765152
737,542370.0223508743
738,1120483.8974041915
739,257680.08102831576
740,411084.7183596293
741,409889.69592043024
742,686498.1253185204
743,320224.79211048246
744,395093.4472413589
745,786750.6369785403
746,512085.80496492493
747,573857.8789267226
748,694691.507492372
749,385401.65765496343
750,256317.78453768836
751,860675.1707311436
752,406871.74857352837
753,633143.057942565
754,587756.89515263
755,245447.0230925241
756,1057664.9089987664
757,1338328.203649533
758,807851.213132705
759,732166.8192915155
760,551342.9073320053
761,281346.94234014046
762,284375.63460085227
763,367056.2429281608
764,513040.8778315366
765,528317.3155374253
766,695773.9374315509
767,148940.24227714573
768,706873.48514488
769,821186.3596969517
770,548255.8030657403
771,280913.8042184493
772,496394.00800465257
773,587859.7538199691
774,355694.39827729925
775,624927.5423945121
776,350219.0075634293
777,547796.3978904028
778,537444.6948182611
779,1584651.8968598132
780,255290.0168117736
781,515732.3728537214
782,314181.91898836603
783,626847.9969702191
784,890149.006087695
785,411238.64001059765
786,407872.7454686841
787,343627.9752157446
788,338534.16645454033
789,390223.0871533848
790,440937.63039956836
791,781054.5608248948
792,1195936.7267170034
793,122658.54731244105
794,72000.00401989161
795,429001.467301817
796,815217.6996160995
797,637909.749510722
798,430940.26418810897
799,1444491.7047962155
800,556130.5928523091
801,1085378.874717154
802,542249.6528023356
803,841375.1495225078
804,202392.78355683485
805,434832.50138181646
806,311403.18097998167
807,676531.0548924371
808,560791.7521293176
809,373689.7560634909
810,370720.03354106424
811,313361.34329168766
812,276437.1493215918
813,583063.1537481132
814,1447585.4322551137
815,429430.98636178835
816,193450.10648928664
817,257423.49323746405
818,650739.8684136852
819,55992.14405767422
820,39066.15314094527
821,359217.6592639084
822,1091366.9995320681
823,525202.4242025379
824,525202.4242025379
825,81629.05336984881
826,682982.9326148015
827,106156.27568749653
828,388553.0849819627
829,589449.8523232786
830,804581.7350306353
831,421786.9051166292
832,432091.1857122709
833,587013.1688757713
834,185819.5381103998
835,334007.0768603664
836,408751.6025009252
837,408751.6025009252
838,635559.7164181576
839,381243.47263252095
840,263229.9928553821
841,288160.8429440156
842,619127.395608918
843,369801.9992151995
844,486222.82724822394
845,446244.6443844272
846,583437.6558136621
847,1078574.2648077488
848,383143.5270885264
849,382431.2083177038
850,430457.7261773532
851,190719.32667981368
852,320696.8043660773
853,654159.4454438423
854,317955.26707254915
855,239170.18281879032
856,233681.7405197423
857,663563.0109448857
858,496017.49786427093
859,163127.05308051076
860,-97055.46179797877
861,305066.87577410287
862,531961.6574661805
863,761019.7523421219
864,296865.0929847295
865,182367.4841007408
866,645559.2676753617
867,379562.3245009071
868,498106.0682481439
869,333560.6794759404
870,534357.148765151
871,445312.808713124
872,927274.1844104736
873,953543.9153005031
874,959224.4625285557
875,815498.8835239063
876,277207.9970273187
877,537634.0701370529
878,73992.75419220794
879,172137.60147035395
880,428755.04300353106
881,375283.0628039676
882,315239.3757807163
883,665096.1696130907
884,823379.2809134022
885,778548.6130980441
886,646254.6821102132
887,246285.8892598757
888,414507.8851475698
889,634156.5912047237
890,839206.6097431431
891,663294.3371159795
892,529834.2081383263
893,199991.70772467396
894,170302.0331777865
895,398296.28147269017
896,816946.7442898905
897,819419.4825649229
898,648033.88130805
899,144109.8802706311
900,807315.0661563686
901,855028.5952218289
902,907745.7113024853
903,279275.32091199944
904,281007.01171567384
905,483475.4338328325
906,188642.33349189517
907,334836.6672361975
908,512352.1284117355
909,341736.5319480989
910,262140.8758115021
911,618621.0231412498
912,203114.2787752399
913,443699.54461442446
914,380925.53109943867
915,576644.4664949814
916,436003.7100524487
917,399654.0730410586
918,217938.5198637764
919,395805.2332902062
920,180292.3269728007
921,362521.0205330688
922,227192.89613316784
923,736244.5132232768
924,567172.3831486241
925,813608.4351635231
926,300919.1852069791
927,729047.7060428034
928,425084.7702803315
929,417308.46486311615
930,194704.0941072998
931,537112.4073304891
932,78612.38861427375
933,119012.30801881838
934,718719.3260035248
935,1262498.471413508
936,472962.38866770687
937,342017.61467518355
938,265716.1659042538
939,292574.2902764409
940,628840.8560324543
941,343278.8199828729
942,611070.6556606735
943,1015877.6483104245
944,944654.7571502859
945,427168.401531206
946,246570.17718592065
947,749138.3658580184
948,371666.12810390315
949,1068259.5452974022
950,212578.94393492752
951,565513.7460723732
952,398477.81345683755
953,712676.4837836215
954,848259.0928493585
955,913712.1107672316
956,582582.1344653748
957,386277.52044708736
958,416688.81923299236
959,403282.88485617586
960,761940.2088491558
961,230605.1217046224
962,467447.2650192075
963,202803.02281719336
964,794537.768854742
965,398187.21303094586
966,210404.831658462
967,585508.428110744
968,425093.29814494005
969,686747.1976560109
970,517782.98328908125
971,173251.85346932296
972,528537.495002078
973,410953.81526256667
974,823467.431020073
975,670440.878857899
976,574905.9712714943
977,166688.36330601224
978,255736.14520471473
979,247547.3535698034
980,467778.1203738039
981,834937.4996142079
982,368280.9183423077
983,362706.4514525734
984,270233.96325173444
985,297642.12533547106
986,169314.01881695824
987,211996.53646664665
988,319188.1499310767
989,435309.7824709341
990,625664.0620009904
991,683540.6782303553
992,904833.7986590916
993,219747.13181874296
994,99883.18831856619
995,234341.3270494846
996,281520.76985399285
997,426235.01794746146
998,199983.86952631397
999,391035.29899638204
1000,708541.4216389942
1001,297506.07619092363
1002,232969.16885834758
1003,528510.6967681241
1004,64012.59250091459
1005,575695.9688839602
1006,502426.57190502295
1007,609554.4430735233
1008,379832.568656186
1009,304285.3343596617
1010,581553.1176539923
1011,521994.32772154815
1012,829479.6109903373
1013,606050.0504026028
1014,441601.5452545292
1015,145721.23515953496
1016,454831.7556987328
1017,520222.5771525258
1018,245359.93355920678
1019,327617.7598499857
1020,989345.0949311107
1021,152476.66162613948
1022,328657.7302859874
1023,436678.46763424296
1024,371770.18201701844
1025,312749.8865767138
1026,275436.4627062478
1027,404353.136763211
1028,223025.825613742
1029,472102.38498831727
1030,398078.07229714387
1031,1265625.4742564023
1032,537557.6697724471
1033,357548.86235441174
1034,1021748.1289462144
1035,1202025.7799748091
1036,351054.74773385224
1037,344217.4580926574
1038,307224.3097135831
1039,385551.62109883234
1040,346719.6037599967
1041,474822.34073296376
1042,640542.2084144788
1043,127879.69348678814
1044,477218.5816661593
1045,277075.21372635895
1046,690139.9431911674
1047,465359.9999280835
1048,616259.6603157889
1049,749052.9402660859
1050,350086.6008149303
1051,708968.9251596698
1052,1082075.7910247848
1053,716828.4026815862
1054,667624.0189027959
1055,1493901.617845011
1056,388378.637385414
1057,413471.0865948015
1058,584251.3449142594
1059,455192.6040983994
1060,304497.536461793
1061,1060779.8368047266
1062,961219.0880165147
1063,200431.92857486213
1064,480876.93749698054
1065,633185.2611314312
1066,85735.91502249223
1067,291993.020432162
1068,255767.53858928726
1069,352101.22242446896
1070,577852.6691598885
1071,335285.41155608045
1072,1044023.2976320535
1073,837487.035349943
1074,460960.28412236506
1075,567407.2147239642
1076,431269.86981821444
1077,329440.03848491353
1078,480603.80528726615
1079,277273.7287220803
1080,254701.5487847557
1081,1115079.9928947291
1082,726879.660818577
1083,667064.2486360307
1084,687416.3655866513
1085,451666.31079142157
1086,451666.31079142157
1087,250593.14418787486
1088,830140.1056226456
1089,451475.85577989114
1090,902749.6603985499
1091,317612.41163994296
1092,598614.0160378215
1093,734521.4472256079
1094,504287.54892440094
1095,341780.8738986838
1096,-59303.84685406805
1097,396502.0959717216
1098,246869.76268454763
1099,75506.94629180763
1100,1587129.8665859085
1101,621249.7495648714
1102,243655.3195041098
1103,162664.09017582244
1104,755006.6726012274
1105,511862.82515786006
1106,912301.5839272095
1107,650276.3747610718
1108,227395.6703048487
1109,600031.6694144831
1110,363788.30800147296
1111,341570.51915243233
1112,587423.7619857203
1113,768000.2615674532
1114,463011.9177352695
1115,182072.5974074757
1116,518963.14908018813
1117,956966.2627660194
1118,324444.2941178656
1119,717915.9068828878
1120,83792.28305726754
1121,99924.95884552598
1122,1139395.7619221886
1123,1132894.0036858276
1124,497959.0412028433
1125,375713.2702651534
1126,226596.10579084506
1127,290498.91665731824
1128,440447.8517100676
1129,440447.8517100676
1130,464454.8318705504
1131,820754.2646664086
1132,242404.70503569668
1133,1213399.594507809
1134,293564.2332113258
1135,620951.6892776852
1136,404823.05604935647
1137,-88346.85678724136
1138,16480.021801208524
1139,1036963.2056655544
1140,661325.9167413234
1141,271052.0764931101
1142,462270.43070806575
1143,885547.3847814582
1144,198537.33840015985
1145,296341.8378908028
1146,460573.54738508107
1147,596776.5785347486
1148,743340.5613954713
1149,-386499.27201460244
1150,433943.30632749177
1151,476223.29412201303
1152,1671362.5344679148
1153,305035.1262255605
1154,900276.5505134123
1155,363145.2089788023
1156,350211.2686445451
1157,1192406.466332216
1158,404192.5665602179
1159,261837.67401755223
1160,413491.4909940234
1161,1247340.4847371653
1162,587410.8222995596
1163,861852.0558766706
1164,2887929.463523107
1165,525153.2701831087
1166,517082.6278309147
1167,160455.35086364765
1168,747625.2799483229
1169,447725.87921151693
1170,900855.0182012375
1171,1276715.8082786603
1172,542232.1331809942
1173,189512.95872918452
1174,462743.0943431255
1175,423137.3346225264
1176,820373.9780804535
1177,378627.7349619842
1178,659447.2470475872
1179,943036.9735193409
1180,731172.0028607624
1181,243555.19993368647
1182,854258.1353671397
1183,894775.1917251202
1184,770349.1322977123
1185,548738.5072434589
1186,163690.84474979457
1187,768103.3990970062
1188,403801.1423181547
1189,324651.8077357287
1190,383924.3286396784
1191,158104.61376764573
1192,251561.96403301752
1193,504531.647765854
1194,319724.22182628664
1195,522353.5787825781
1196,225142.00893507892
1197,312746.9882845461
1198,245190.39421428344
1199,1131010.8350862626
1200,344115.3688074249
1201,563421.1462968951
1202,380985.15977849555
1203,380985.15977849555
1204,203249.70743499335
1205,422524.4455355172
1206,334102.14780876704
1207,665403.3112041443
1208,903918.0938267596
1209,684774.094253371
1210,465124.68342610146
1211,701149.5456859756
1212,296801.1849464727
1213,176136.44226135348
1214,709461.2157373907
1215,676232.1930874061
1216,358170.3833051713
1217,1359680.8473487613
1218,80618.94658392097
1219,340514.8935455829
1220,900709.337435972
1221,569177.0739348144
1222,377051.2257032321
1223,487357.7893867283
1224,588445.098716625
1225,392349.5781749758
1226,164830.74229298893
1227,275676.5543875929
1228,750333.6943732114
1229,495533.6121436616
1230,441061.21535175573
1231,417006.7510908807
1232,442903.926416024
1233,75174.56355441047
1234,137034.22936346562
1235,137034.22936346562
1236,164259.60040993313
1237,611917.2397608542
1238,731499.8130472354
1239,486295.80695199873
1240,692499.4060526534
1241,549679.7891548551
1242,496914.5209435619
1243,88174.0775922499
1244,763293.975271048
1245,426513.71690161957
1246,1086473.7144772045
1247,1013725.2545591984
1248,431251.46516743605
1249,661084.0934183772
1250,345737.0968676121
1251,306846.9322570823
1252,632908.8729632699
1253,579609.0070572742
1254,476334.8975338902
1255,666692.2410763315
1256,377407.9358933959
1257,472902.7344797354
1258,652216.793663797
1259,245424.5907550336
1260,690967.5568143635
1261,1888686.5220274604
1262,539203.6318546538
1263,906623.4132322343
1264,453764.8029705697
1265,368349.1916836917
1266,599095.1981281799
1267,390931.3547174403
1268,464196.98645489535
1269,591148.0780434663
1270,534938.0186126202
1271,583966.3072389934
1272,1084409.0342626758
1273,537289.5189736236
1274,768313.9546692482
1275,227035.62994842045
1276,850890.0343004426
1277,708113.618956443
1278,698377.5777612302
1279,238597.3932747956
1280,458644.6884274904
1281,373501.74532518757
1282,1016238.6917472668
1283,486164.10327799246
1284,295232.1659296041
1285,216048.14478095982
1286,519331.3743426808
1287,517483.0594255425
1288,347711.23698209296
1289,638210.9041645153
1290,523552.1737795742
1291,183905.65888369852
1292,64234.58998193545
1293,400532.8863013596
1294,1298897.469231125
1295,233015.54605394695
1296,684434.9048799236
1297,366231.54736969585
1298,634418.1048921822
1299,158354.34328509634
1300,441020.4023199745
1301,503296.6649102955
1302,295381.1063463219
1303,457893.1394640169
1304,365133.955027662
1305,425046.96124191163
1306,723619.5658634711
1307,221728.82071172848
1308,426739.31043298286
1309,405560.8384343878
1310,996193.4680211707
1311,299035.51493880205
1312,718187.5692126256
1313,216953.10744332115
1314,467481.8952636663
1315,2741243.371055281
1316,673273.3296282126
1317,535467.6797522225
1318,151857.3596700958
1319,493543.80885602545
1320,439670.7390398792
1321,364622.6405853289
1322,445253.83723449416
1323,319660.4434157257
1324,314841.784484242
1325,83846.83294273418
1326,467886.97918721323
1327,353842.19384058705
1328,848771.0270715603
1329,553027.4884777837
1330,553327.0167040767
1331,705035.6302657058
1332,741330.5157135109
1333,652966.9131841259
1334,639042.904452817
1335,473981.34546836116
1336,511022.64384922944
1337,686973.953063622
1338,796950.7256394462
1339,589489.2937477496
1340,480971.29086424527
1341,858195.9008287794
1342,842048.1222326941
1343,438603.5381540111
1344,967946.1650881185
1345,282441.4397122033
1346,791651.551168999
1347,776835.0348033541
1348,620778.426040121
1349,504642.86531529354
1350,887713.4232257619
1351,317112.8212884811
1352,487153.5990820874
1353,511623.29032659775
1354,346910.0703481983
1355,995582.3224391886
1356,536410.0412161009
1357,745820.7408887614
1358,346902.8419404448
1359,675751.8358751133
1360,890169.6646473124
1361,1963942.8203816265
